plan_id,customer_id,merchant_id,basket_amount_pence,deposit_amount_pence,term_months,created_at
50,165,30,65000,0,4,2025-07-07
51,613,25,90000,0,3,2025-07-16
52,287,3,40000,0,3,2025-11-20
53,1024,35,120000,24000,12,2025-02-02
54,1895,5,65000,0,3,2026-01-15
55,30,12,90000,0,3,2025-05-05
56,1675,7,15000,1500,12,2025-11-09
57,1215,12,15000,0,3,2026-02-11
58,1427,24,40000,0,3,2026-01-23
59,1593,11,8000,1600,12,2025-03-10
60,1222,12,65000,0,3,2025-03-31
61,394,8,8000,800,12,2025-08-03
62,111,24,15000,0,3,2025-04-01
63,214,4,120000,12000,6,2025-11-12
64,859,13,90000,18000,6,2025-05-01
65,770,15,90000,9000,6,2025-05-02
66,1998,18,15000,0,4,2026-01-04
67,857,11,8000,1600,6,2025-03-11
68,1766,14,120000,24000,12,2025-07-30
69,872,34,8000,800,6,2025-01-23
70,272,23,90000,9000,6,2025-12-21
71,2000,30,90000,9000,12,2025-10-20
72,873,18,8000,0,4,2025-09-29
73,1819,4,90000,0,4,2025-09-21
74,284,22,90000,0,3,2025-10-15
75,657,23,90000,0,3,2026-01-21
76,927,32,25000,0,4,2025-02-02
77,386,30,25000,0,3,2025-11-14
78,230,10,15000,0,4,2025-02-25
79,971,23,65000,0,3,2025-12-16
80,1710,34,8000,0,3,2025-02-02
81,938,20,65000,13000,12,2025-09-06
82,1267,11,40000,0,3,2025-05-26
83,331,16,90000,0,3,2026-03-06
84,1364,21,65000,0,3,2025-04-16
85,249,2,15000,3000,12,2025-10-04
86,1638,37,65000,0,3,2026-01-22
87,286,36,40000,0,3,2026-01-10
88,1246,13,25000,0,3,2025-02-17
89,1387,6,8000,1600,12,2025-01-12
90,720,20,25000,0,4,2025-01-07
91,336,28,40000,0,4,2026-02-16
92,136,38,25000,5000,6,2025-04-17
93,409,12,40000,4000,12,2025-10-12
94,538,20,8000,0,3,2026-02-10
95,59,8,15000,1500,6,2025-08-02
96,765,33,90000,9000,6,2025-11-18
97,732,11,90000,0,3,2025-08-25
98,1053,13,65000,0,3,2025-05-30
99,1694,20,25000,0,4,2025-10-06
100,764,32,15000,3000,12,2025-01-07
101,639,24,40000,0,4,2025-01-09
102,456,9,90000,0,3,2025-01-15
103,161,28,15000,0,3,2025-03-06
104,403,7,40000,4000,6,2026-02-01
105,1374,23,15000,0,3,2025-10-28
106,1035,37,15000,1500,12,2025-06-30
107,1054,15,40000,0,3,2025-07-14
108,1016,24,65000,0,3,2025-02-26
109,936,39,8000,1600,6,2025-09-10
110,368,1,120000,24000,6,2025-02-05
111,1519,11,40000,4000,6,2025-03-15
112,1549,26,120000,24000,12,2026-01-01
113,1287,9,40000,4000,6,2025-05-09
114,1557,5,65000,0,3,2025-11-15
115,1034,17,90000,18000,6,2025-05-31
116,942,3,120000,24000,6,2025-06-11
117,975,36,65000,13000,12,2025-12-04
118,263,24,8000,800,12,2025-02-01
119,1214,6,90000,0,4,2025-05-01
120,77,30,8000,1600,12,2025-03-28
121,689,32,90000,0,3,2025-02-21
122,1018,5,40000,0,3,2025-07-06
123,1648,15,25000,5000,12,2025-01-25
124,410,27,90000,18000,12,2025-08-10
125,493,10,40000,0,3,2025-07-06
126,1299,14,120000,0,3,2025-06-13
127,832,16,90000,9000,12,2025-05-12
128,114,6,40000,0,3,2026-01-05
129,813,9,90000,0,3,2025-07-06
130,1584,21,15000,1500,12,2025-02-16
131,1433,8,8000,1600,6,2025-10-29
132,1683,20,90000,0,4,2025-09-01
133,1850,8,25000,0,4,2025-07-16
134,185,16,25000,0,4,2025-07-21
135,1775,6,8000,0,4,2026-02-09
136,1689,11,40000,0,3,2026-01-03
137,929,2,90000,18000,12,2025-11-05
138,324,16,8000,0,3,2025-10-22
139,534,12,40000,0,3,2025-08-20
140,373,26,40000,0,4,2025-02-13
141,537,11,40000,0,3,2025-02-15
142,1472,34,8000,0,3,2025-10-18
143,391,18,90000,0,3,2025-04-25
144,1229,14,120000,0,3,2025-08-09
145,59,19,40000,0,3,2025-04-03
146,22,31,65000,6500,6,2025-07-09
147,107,22,8000,800,12,2025-02-07
148,1906,22,15000,3000,12,2025-05-14
149,1849,17,25000,5000,6,2026-01-18
150,109,13,15000,3000,12,2026-01-27
151,1834,32,40000,4000,6,2025-12-28
152,370,11,15000,0,4,2025-02-17
153,1574,32,8000,0,3,2025-08-02
154,808,24,90000,0,3,2025-12-15
155,930,18,8000,1600,6,2025-01-15
156,1642,19,120000,0,3,2025-04-19
157,365,16,40000,0,4,2025-02-17
158,1326,10,40000,8000,6,2025-03-25
159,1003,29,25000,2500,12,2026-03-03
160,890,28,25000,2500,12,2026-02-20
161,305,9,8000,1600,6,2025-08-12
162,1046,28,65000,0,3,2025-01-24
163,1575,33,65000,0,3,2025-05-11
164,853,20,8000,0,3,2025-07-21
165,433,12,120000,0,3,2025-06-24
166,28,11,8000,800,6,2025-01-10
167,257,9,25000,0,3,2026-02-16
168,1331,16,40000,0,3,2025-04-18
169,971,28,40000,0,3,2026-01-30
170,413,19,8000,800,6,2025-08-30
171,76,32,120000,24000,6,2025-08-01
172,1829,27,8000,0,4,2025-10-11
173,331,19,40000,0,3,2025-12-24
174,1204,22,65000,0,3,2025-04-29
175,1707,24,90000,18000,6,2026-01-06
176,1241,32,15000,0,3,2025-03-30
177,735,17,8000,0,3,2025-10-13
178,882,8,8000,0,4,2026-02-18
179,1576,3,120000,0,4,2025-06-24
180,1997,7,120000,12000,6,2025-08-13
181,1451,29,15000,0,4,2025-07-05
182,252,13,120000,0,3,2025-06-21
183,588,33,120000,24000,6,2026-03-04
184,1613,15,120000,24000,12,2025-03-19
185,889,4,40000,0,3,2025-06-11
186,859,26,90000,18000,12,2025-11-20
187,1429,23,15000,3000,12,2025-11-26
188,438,6,65000,0,4,2025-09-24
189,495,20,120000,24000,12,2025-01-15
190,718,20,15000,1500,12,2025-06-23
191,871,9,8000,0,3,2025-02-11
192,1786,17,65000,13000,6,2025-12-13
193,265,33,15000,3000,6,2025-09-16
194,1233,27,25000,0,3,2025-10-14
195,767,20,25000,0,4,2025-03-02
196,442,12,25000,0,4,2025-01-25
197,856,31,120000,0,3,2025-02-04
198,1561,9,120000,12000,12,2025-09-01
199,1323,6,8000,1600,6,2025-10-04
200,1538,31,65000,0,3,2025-10-19
201,503,38,25000,0,3,2025-01-10
202,697,28,120000,0,3,2025-09-09
203,204,35,8000,0,3,2025-05-12
204,629,27,8000,0,3,2026-01-29
205,611,25,90000,0,3,2025-01-14
206,415,16,8000,0,3,2026-02-28
207,652,30,25000,0,3,2025-02-28
208,1872,2,90000,0,3,2025-07-28
209,172,33,65000,13000,6,2025-06-05
210,1338,11,8000,1600,6,2025-01-22
211,616,6,15000,1500,12,2025-01-24
212,33,9,15000,3000,6,2025-06-24
213,1103,6,90000,18000,6,2025-10-12
214,793,12,65000,0,4,2026-02-28
215,454,2,40000,0,3,2025-04-09
216,1656,15,65000,0,4,2026-02-22
217,15,13,90000,9000,12,2025-09-10
218,1805,34,25000,2500,12,2025-03-07
219,1015,24,90000,18000,12,2025-03-04
220,1511,15,120000,0,3,2025-10-20
221,637,5,15000,0,4,2025-04-11
222,1722,17,8000,1600,12,2026-02-18
223,1933,5,120000,0,3,2025-09-24
224,1996,4,8000,0,3,2025-10-24
225,1883,29,15000,0,3,2026-02-05
226,197,40,120000,24000,6,2025-05-31
227,696,2,65000,0,3,2025-11-14
228,1215,13,8000,800,12,2025-02-22
229,638,38,65000,13000,6,2025-06-09
230,118,16,8000,800,12,2025-07-08
231,1262,20,65000,0,4,2025-10-24
232,1309,15,15000,0,3,2025-09-11
233,1654,25,90000,0,4,2025-09-04
234,1137,8,25000,0,3,2025-02-07
235,406,19,8000,0,3,2025-01-23
236,402,2,15000,0,3,2025-10-11
237,777,8,90000,0,3,2026-03-02
238,1354,11,25000,0,4,2025-05-03
239,393,35,120000,0,3,2025-03-08
240,1563,40,15000,0,3,2025-11-22
241,1788,9,8000,0,4,2025-05-07
242,343,33,90000,9000,12,2026-02-09
243,1466,32,25000,5000,12,2025-12-31
244,871,25,15000,0,4,2025-07-22
245,911,34,8000,0,4,2026-01-20
246,753,32,40000,8000,6,2025-08-19
247,1847,6,8000,0,4,2025-11-27
248,79,35,8000,0,4,2025-03-02
249,391,39,120000,0,4,2026-01-17
250,1684,38,25000,5000,6,2026-02-26
251,972,15,90000,0,3,2025-04-27
252,1733,13,8000,0,4,2026-02-10
253,285,37,8000,0,4,2025-10-13
254,1405,26,15000,3000,6,2025-06-23
255,781,14,65000,13000,12,2025-06-19
256,55,12,120000,24000,12,2025-01-17
257,227,9,40000,0,3,2025-07-30
258,635,28,15000,0,3,2025-04-16
259,565,13,15000,3000,12,2025-10-28
260,801,40,90000,0,4,2025-06-27
261,788,12,90000,18000,6,2025-11-13
262,1366,5,65000,0,4,2025-11-18
263,1034,21,8000,0,3,2025-07-08
264,150,30,8000,800,6,2025-09-17
265,670,30,90000,0,3,2025-02-28
266,965,18,40000,0,3,2026-01-01
267,1095,26,25000,0,3,2025-04-01
268,444,3,25000,0,3,2025-08-14
269,800,20,90000,9000,12,2026-03-05
270,410,6,25000,0,3,2025-05-08
271,1483,11,8000,0,3,2025-04-23
272,1923,28,15000,3000,12,2025-11-16
273,940,15,40000,0,3,2025-01-07
274,209,35,120000,24000,12,2025-06-04
275,784,33,65000,13000,12,2025-01-10
276,414,10,40000,0,4,2025-07-11
277,1319,3,25000,0,4,2025-03-10
278,497,14,25000,0,4,2026-01-11
279,133,32,40000,0,3,2025-04-04
280,484,33,15000,1500,12,2025-02-16
281,1558,10,40000,8000,6,2025-08-30
282,1133,12,65000,0,3,2025-11-01
283,148,22,40000,8000,12,2025-05-26
284,1313,38,40000,0,4,2025-07-16
285,1044,32,120000,0,4,2026-01-30
286,979,3,15000,0,3,2026-01-12
287,521,16,65000,6500,6,2025-05-14
288,1062,13,65000,0,3,2025-12-28
289,1201,20,25000,5000,12,2025-12-21
290,345,32,25000,0,3,2025-12-24
291,382,9,15000,0,4,2025-03-29
292,1536,12,15000,0,3,2025-04-06
293,1779,11,90000,9000,12,2025-08-14
294,770,39,120000,0,3,2025-09-25
295,690,24,25000,5000,12,2026-01-23
296,1789,22,8000,0,4,2025-11-09
297,1780,34,65000,0,3,2025-01-14
298,1353,13,90000,18000,6,2025-11-13
299,714,28,40000,4000,6,2025-11-07
300,262,32,65000,6500,12,2025-09-24
301,217,28,90000,0,3,2026-01-21
302,452,17,120000,0,4,2025-07-16
303,1786,15,90000,0,4,2026-02-12
304,1656,15,90000,18000,12,2025-12-01
305,1748,21,25000,0,3,2025-10-21
306,1735,25,65000,0,3,2025-10-30
307,219,26,90000,9000,12,2025-09-24
308,1014,19,65000,6500,6,2025-12-28
309,1891,12,90000,0,3,2025-12-25
310,866,31,65000,13000,6,2025-01-12
311,200,9,120000,24000,12,2025-12-25
312,447,13,15000,0,3,2025-05-30
313,772,28,120000,0,3,2025-12-14
314,1936,4,40000,0,3,2025-07-02
315,70,8,90000,9000,6,2025-03-18
316,1296,29,90000,18000,6,2026-02-23
317,48,38,90000,9000,12,2025-11-25
318,667,5,15000,0,3,2025-10-20
319,131,34,65000,13000,12,2025-07-21
320,1152,17,15000,0,3,2025-12-01
321,1979,35,25000,0,4,2025-09-17
322,1350,35,120000,0,4,2025-09-23
323,486,3,8000,0,3,2025-12-19
324,1212,23,65000,0,3,2025-11-05
325,820,30,40000,0,3,2025-05-14
326,1297,13,90000,0,4,2025-02-06
327,1975,39,40000,4000,6,2026-02-08
328,744,22,90000,0,3,2025-06-18
329,776,7,8000,800,6,2025-01-06
330,1130,18,65000,0,4,2025-12-25
331,977,38,25000,5000,12,2025-04-03
332,565,28,25000,5000,6,2025-08-13
333,158,16,90000,0,3,2025-02-16
334,1656,1,25000,5000,12,2026-01-16
335,1866,1,65000,0,3,2025-01-08
336,1382,34,40000,0,3,2025-11-07
337,1951,4,15000,3000,12,2026-03-06
338,1704,35,90000,0,3,2025-06-23
339,437,1,25000,0,4,2025-09-05
340,729,1,65000,6500,6,2025-08-26
341,19,7,15000,3000,6,2026-01-05
342,464,31,15000,0,4,2025-01-04
343,223,29,120000,0,4,2025-10-02
344,736,13,40000,0,3,2026-01-18
345,1365,13,8000,0,3,2025-06-19
346,666,26,65000,6500,6,2025-09-08
347,1572,16,25000,2500,12,2025-03-21
348,1436,33,120000,0,3,2025-12-28
349,561,13,15000,1500,6,2025-03-03
350,1434,15,65000,0,4,2025-07-28
351,226,18,8000,0,4,2025-11-26
352,2,4,15000,0,3,2025-01-25
353,883,12,25000,2500,12,2025-08-30
354,488,18,120000,24000,12,2026-01-16
355,396,29,90000,0,3,2025-10-28
356,1093,10,40000,0,3,2026-01-07
357,1866,28,40000,0,3,2025-07-07
358,594,3,90000,0,3,2025-05-21
359,339,29,90000,9000,12,2025-09-11
360,622,15,65000,13000,6,2026-02-09
361,81,10,15000,0,4,2025-10-01
362,1095,8,15000,0,3,2025-11-25
363,1479,9,65000,0,4,2025-12-28
364,1497,18,25000,0,3,2026-02-26
365,1673,29,25000,2500,12,2025-12-01
366,1016,12,40000,0,3,2025-03-17
367,44,20,15000,0,4,2026-01-09
368,932,26,8000,800,6,2025-03-15
369,271,16,90000,0,3,2026-03-02
370,1111,22,8000,0,3,2026-02-10
371,1671,11,120000,24000,12,2025-09-03
372,3,15,120000,12000,6,2025-09-19
373,1959,19,15000,0,3,2025-02-26
374,365,28,8000,800,12,2025-02-13
375,1593,10,8000,0,3,2026-02-08
376,1184,28,8000,0,3,2026-02-22
377,1572,25,15000,0,3,2025-06-15
378,284,16,40000,8000,12,2025-12-22
379,741,1,8000,0,3,2025-12-26
380,1867,23,8000,0,3,2025-03-10
381,497,14,120000,24000,12,2025-03-15
382,62,10,65000,0,3,2026-03-05
383,1568,12,65000,6500,6,2025-01-07
384,588,8,90000,0,3,2026-02-05
385,1135,17,40000,8000,6,2025-01-06
386,1522,14,40000,0,3,2025-09-25
387,1673,30,120000,12000,12,2025-04-05
388,58,16,120000,0,4,2025-11-05
389,1130,13,25000,0,3,2026-01-23
390,1155,31,65000,6500,12,2025-02-13
391,1203,25,15000,0,3,2026-02-01
392,1813,6,90000,9000,6,2025-03-19
393,596,24,15000,0,4,2026-02-07
394,1963,10,65000,6500,12,2025-04-17
395,1181,24,8000,0,4,2025-03-24
396,1925,8,25000,2500,6,2025-08-31
397,903,24,90000,0,3,2025-11-14
398,539,3,40000,8000,12,2025-12-16
399,457,25,65000,6500,6,2025-03-23
400,1879,26,15000,0,3,2025-02-13
401,1238,32,25000,0,4,2025-02-03
402,1943,31,65000,0,3,2025-01-20
403,1918,24,120000,12000,6,2025-11-04
404,172,10,25000,0,3,2025-05-19
405,377,4,15000,0,4,2025-09-26
406,1978,28,40000,4000,6,2025-08-03
407,30,10,120000,0,4,2025-12-07
408,1067,1,90000,18000,6,2026-02-10
409,1231,25,15000,1500,6,2026-01-17
410,1433,32,25000,2500,12,2025-06-04
411,1112,28,65000,6500,12,2025-04-01
412,1368,19,65000,0,3,2025-09-15
413,401,31,40000,0,3,2025-10-10
414,1925,24,90000,9000,6,2026-02-25
415,1844,27,15000,0,3,2025-12-11
416,1139,26,40000,0,3,2025-10-20
417,826,21,90000,9000,6,2025-03-07
418,1715,36,90000,0,4,2026-01-26
419,1288,38,40000,0,3,2025-01-14
420,930,23,90000,0,3,2026-01-16
421,1488,25,120000,0,3,2025-10-02
422,1308,38,90000,0,3,2025-03-15
423,537,12,15000,0,4,2025-02-24
424,997,5,8000,800,6,2026-02-12
425,1851,12,25000,0,3,2025-04-03
426,325,34,40000,4000,12,2025-06-27
427,549,18,8000,0,3,2025-04-23
428,1050,26,90000,18000,6,2025-08-28
429,340,14,120000,24000,12,2025-10-26
430,766,5,65000,0,4,2025-04-13
431,816,2,120000,24000,12,2025-11-06
432,438,30,8000,0,4,2025-12-19
433,1080,14,65000,0,3,2025-05-26
434,1666,21,120000,24000,6,2025-12-16
435,1232,21,8000,800,6,2025-03-03
436,1835,35,15000,1500,6,2025-05-26
437,563,21,120000,24000,6,2026-03-01
438,1739,8,25000,5000,6,2025-07-21
439,349,6,25000,2500,6,2025-02-23
440,541,22,25000,0,3,2025-01-25
441,259,21,65000,6500,6,2025-03-12
442,189,17,25000,2500,6,2025-05-24
443,27,14,8000,0,3,2025-09-11
444,1668,38,25000,0,3,2025-02-23
445,1873,9,15000,1500,12,2025-12-02
446,1949,37,15000,0,4,2025-08-05
447,547,2,8000,800,6,2025-05-04
448,813,33,15000,0,3,2025-08-09
449,101,25,25000,0,3,2025-05-20
450,1217,18,40000,0,3,2025-04-07
451,1964,8,8000,0,3,2025-12-15
452,565,15,8000,800,12,2025-05-03
453,1503,1,65000,0,4,2025-12-28
454,384,22,8000,0,3,2025-12-15
455,364,17,25000,0,3,2025-08-08
456,1001,16,65000,0,3,2025-08-31
457,1547,10,15000,1500,12,2026-03-04
458,1359,32,25000,5000,12,2026-01-12
459,303,27,25000,2500,12,2025-02-27
460,1963,34,90000,18000,12,2025-05-21
461,591,8,120000,0,4,2025-10-18
462,622,32,25000,2500,12,2025-09-25
463,1353,1,40000,0,4,2025-01-03
464,596,15,15000,1500,6,2026-01-11
465,1648,38,40000,0,4,2025-10-16
466,625,6,15000,0,4,2025-10-11
467,1422,21,15000,3000,12,2025-02-19
468,1612,16,15000,3000,12,2026-01-22
469,948,34,90000,0,3,2025-07-26
470,683,39,120000,0,3,2025-05-19
471,1437,14,8000,800,12,2025-02-01
472,1065,7,65000,0,3,2025-03-20
473,114,8,65000,13000,6,2026-03-03
474,886,10,65000,0,3,2025-12-03
475,976,31,65000,6500,12,2025-03-29
476,1156,25,40000,0,3,2025-05-26
477,568,1,15000,3000,6,2025-07-01
478,1344,37,15000,0,4,2025-12-02
479,1972,31,120000,24000,6,2025-02-04
480,1745,11,8000,0,3,2025-02-04
481,1581,16,120000,0,3,2025-06-15
482,77,5,25000,0,3,2025-11-10
483,273,37,8000,1600,6,2025-06-14
484,889,34,90000,0,3,2025-04-14
485,417,3,90000,0,3,2025-11-19
486,698,12,65000,0,3,2025-10-18
487,731,40,120000,24000,6,2025-10-20
488,1603,34,8000,0,3,2025-10-19
489,47,15,65000,13000,12,2025-01-27
490,1194,31,90000,0,3,2025-10-07
491,411,22,40000,0,4,2025-06-23
492,483,32,90000,0,3,2026-01-23
493,1818,36,65000,6500,12,2025-08-02
494,1585,13,8000,0,3,2025-01-11
495,881,28,40000,4000,6,2025-01-27
496,488,15,40000,0,3,2025-06-25
497,1665,4,8000,0,3,2026-02-15
498,599,9,65000,0,3,2025-06-29
499,1014,23,25000,2500,12,2025-02-09
500,161,14,65000,13000,6,2025-12-28
501,1952,8,15000,3000,6,2025-01-19
502,910,3,8000,1600,6,2025-09-11
503,1920,2,120000,0,4,2025-10-05
504,1774,28,90000,18000,12,2025-06-24
505,176,16,25000,0,4,2025-01-08
506,551,17,25000,0,4,2025-11-12
507,909,30,25000,0,3,2026-03-05
508,837,4,120000,12000,12,2025-11-23
509,466,12,120000,12000,6,2025-05-13
510,1134,15,25000,0,3,2025-10-24
511,1230,16,90000,0,3,2025-10-04
512,418,21,8000,0,3,2025-09-19
513,669,39,15000,0,3,2025-05-25
514,329,24,25000,2500,12,2025-08-29
515,1104,8,65000,13000,12,2025-10-17
516,473,30,120000,0,4,2025-05-05
517,1148,33,8000,0,4,2025-07-05
518,1896,35,120000,0,3,2025-10-19
519,643,8,25000,0,4,2026-02-12
520,858,17,15000,0,3,2025-01-08
521,1414,11,120000,12000,6,2025-01-18
522,1459,19,65000,0,3,2025-12-23
523,1946,29,90000,0,4,2025-02-07
524,1483,38,15000,0,3,2025-12-25
525,1381,30,65000,0,4,2025-10-31
526,99,37,25000,5000,6,2025-04-29
527,882,34,8000,0,3,2025-03-15
528,590,18,15000,0,3,2025-05-26
529,1894,15,65000,0,3,2025-05-13
530,57,39,120000,12000,12,2025-10-10
531,1881,8,15000,3000,6,2025-09-24
532,1984,23,25000,0,3,2025-03-12
533,566,30,65000,0,4,2025-03-22
534,390,36,90000,18000,12,2025-02-21
535,270,13,40000,0,4,2026-01-11
536,1455,12,40000,4000,12,2025-02-04
537,507,28,40000,0,4,2025-08-03
538,1408,16,40000,8000,6,2026-02-01
539,817,17,120000,24000,6,2025-07-20
540,1173,11,40000,0,3,2025-08-18
541,1947,2,65000,0,3,2025-11-06
542,1342,4,120000,12000,12,2026-01-28
543,679,27,15000,0,4,2026-02-15
544,1028,26,65000,0,3,2026-01-22
545,1294,16,8000,0,3,2025-06-04
546,1034,27,8000,0,3,2025-02-13
547,1608,21,120000,24000,12,2025-04-10
548,990,19,40000,8000,12,2025-04-24
549,1317,20,25000,2500,6,2025-08-17
550,1072,37,15000,3000,6,2025-02-12
551,659,37,15000,0,3,2026-03-04
552,642,16,65000,13000,6,2026-01-22
553,332,34,120000,0,3,2025-03-07
554,350,34,8000,1600,6,2025-02-28
555,1071,21,90000,0,4,2025-05-31
556,1645,40,90000,0,3,2025-09-25
557,1899,9,15000,0,4,2025-08-25
558,12,20,15000,1500,6,2025-04-02
559,137,23,40000,4000,12,2025-11-16
560,1150,35,65000,13000,6,2025-07-08
561,260,34,25000,2500,12,2025-04-02
562,663,5,40000,0,3,2025-03-26
563,620,33,90000,18000,6,2025-08-06
564,1087,6,120000,24000,12,2025-06-09
565,1752,30,120000,0,4,2025-01-13
566,1912,1,25000,0,3,2025-07-15
567,193,24,25000,0,4,2025-10-28
568,1425,17,40000,4000,6,2025-11-25
569,79,24,90000,9000,12,2025-08-31
570,1839,11,120000,0,4,2025-06-20
571,134,13,90000,0,3,2026-03-05
572,565,39,40000,0,3,2025-03-30
573,242,22,25000,5000,12,2025-06-09
574,943,6,90000,0,4,2025-04-22
575,365,18,8000,1600,6,2025-06-08
576,1429,29,25000,0,4,2025-04-01
577,1699,11,90000,18000,12,2026-01-31
578,186,33,65000,13000,12,2025-12-25
579,763,37,15000,3000,6,2025-09-01
580,690,7,40000,0,4,2025-08-04
581,900,40,15000,0,3,2025-10-07
582,1482,24,15000,0,4,2026-03-04
583,863,28,120000,12000,12,2025-04-30
584,1642,23,120000,0,3,2026-02-10
585,1809,12,15000,0,3,2025-12-04
586,1484,16,40000,0,3,2025-04-15
587,965,36,25000,0,3,2025-03-23
588,1563,7,40000,0,3,2026-03-02
589,1679,28,25000,0,4,2026-01-31
590,1573,16,65000,0,3,2025-04-24
591,283,32,90000,0,3,2025-02-09
592,872,10,25000,2500,6,2025-02-17
593,953,6,40000,4000,12,2025-03-25
594,871,17,8000,0,4,2026-01-30
595,229,12,25000,5000,12,2025-12-31
596,891,4,120000,24000,12,2025-09-21
597,1112,18,25000,0,3,2025-12-12
598,1303,3,25000,0,4,2025-08-17
599,259,10,8000,800,12,2025-03-31
600,783,33,90000,0,3,2025-11-08
601,377,17,40000,0,3,2025-08-05
602,621,40,15000,3000,12,2026-02-11
603,1530,12,40000,0,4,2026-01-25
604,39,27,8000,800,6,2025-05-20
605,453,5,8000,0,4,2025-04-26
606,703,22,65000,0,3,2025-09-01
607,1091,11,40000,0,3,2026-01-16
608,1294,32,120000,12000,12,2025-12-05
609,320,40,90000,9000,6,2025-08-20
610,776,39,40000,4000,12,2025-05-01
611,655,24,15000,3000,6,2026-01-20
612,1893,12,120000,12000,6,2025-05-27
613,841,13,90000,18000,6,2025-10-25
614,1166,31,15000,0,3,2025-11-09
615,1742,11,65000,0,3,2025-10-10
616,272,19,15000,0,4,2025-12-31
617,1646,39,15000,1500,6,2026-02-12
618,1766,25,8000,1600,6,2026-01-19
619,745,26,120000,12000,6,2025-05-30
620,1479,11,120000,12000,12,2026-01-24
621,939,32,25000,0,3,2025-02-19
622,1613,29,40000,0,4,2025-12-19
623,453,24,25000,0,3,2025-09-25
624,974,29,90000,0,4,2025-10-18
625,58,14,25000,0,3,2025-07-16
626,977,40,90000,18000,12,2025-07-06
627,461,20,8000,0,4,2025-12-09
628,1721,34,40000,4000,6,2025-07-02
629,1134,35,8000,0,4,2025-09-17
630,1413,16,25000,0,3,2025-05-06
631,188,13,25000,5000,12,2025-11-08
632,654,5,8000,800,12,2025-08-26
633,1207,40,90000,9000,6,2025-02-27
634,1949,20,65000,13000,6,2025-06-18
635,654,33,15000,1500,6,2026-01-23
636,397,7,25000,2500,12,2025-08-15
637,1746,11,120000,12000,6,2025-04-09
638,760,10,40000,0,4,2025-05-15
639,12,26,65000,13000,6,2025-08-06
640,49,21,120000,0,4,2025-05-31
641,219,5,65000,13000,6,2025-11-13
642,122,7,25000,5000,12,2025-05-08
643,1141,34,65000,0,4,2025-10-21
644,378,21,120000,12000,6,2025-07-04
645,288,8,90000,0,3,2025-11-06
646,1870,33,8000,800,12,2026-02-13
647,1505,5,25000,0,3,2025-10-22
648,1540,5,40000,4000,12,2025-10-21
649,823,37,65000,6500,6,2025-08-21
650,1197,21,25000,0,3,2025-03-19
651,423,20,120000,0,3,2025-04-07
652,671,21,25000,0,3,2025-10-04
653,478,14,40000,0,4,2025-03-25
654,910,14,40000,0,3,2026-03-04
655,191,12,15000,1500,6,2025-04-12
656,431,6,25000,2500,6,2026-01-19
657,1970,7,40000,8000,6,2025-01-04
658,33,18,90000,18000,6,2025-11-30
659,288,31,65000,0,3,2025-03-07
660,859,12,65000,6500,6,2025-07-10
661,827,24,15000,0,4,2025-09-12
662,1506,10,8000,800,6,2025-06-19
663,860,5,15000,0,3,2025-06-28
664,638,31,120000,0,3,2025-11-05
665,1960,40,65000,0,4,2025-12-03
666,1650,10,15000,1500,12,2025-03-06
667,1557,9,65000,13000,12,2025-12-09
